epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2491,0.82484,4.13571,1.45794,0.38725,0.15955,0.12656,0.09569,0.99476,3.05518,1.70169,9.76733e-05,9.76733e-05,9.76733e-05
2,164.13,0.82685,3.2214,1.42817,0.32548,0.48726,0.43217,0.32614,0.93398,2.0474,1.61121,0.000191799,0.000191799,0.000191799
3,242.884,0.81959,2.41879,1.40084,0.64266,0.71618,0.73155,0.5453,0.93128,1.45209,1.60002,0.000282044,0.000282044,0.000282044
4,322.819,0.78509,2.01252,1.36655,0.67699,0.75882,0.80814,0.62718,0.79125,1.26195,1.43325,0.000276536,0.000276536,0.000276536
5,405.131,0.7472,1.78567,1.33978,0.80956,0.78952,0.87206,0.67431,0.83824,1.00002,1.46865,0.000270715,0.000270715,0.000270715
6,487.06,0.74826,1.64056,1.33359,0.80403,0.86175,0.92022,0.72109,0.79588,0.86656,1.43103,0.000264894,0.000264894,0.000264894
7,568.455,0.70528,1.50843,1.29951,0.86991,0.88221,0.93309,0.74208,0.78609,0.78919,1.41901,0.000259073,0.000259073,0.000259073
8,649.223,0.70003,1.40094,1.29142,0.84714,0.85875,0.91685,0.74235,0.73314,0.78561,1.35695,0.000253252,0.000253252,0.000253252
9,729.469,0.678,1.31094,1.27546,0.85204,0.88654,0.94007,0.72891,0.85743,0.78556,1.48964,0.00024743,0.00024743,0.00024743
10,809.97,0.66413,1.25352,1.2711,0.83789,0.9141,0.93534,0.75901,0.71105,0.71966,1.332,0.000241609,0.000241609,0.000241609
11,889.758,0.66615,1.20422,1.26787,0.86168,0.91212,0.94734,0.77404,0.71731,0.68856,1.33764,0.000235788,0.000235788,0.000235788
12,990.406,0.64407,1.15875,1.25407,0.91996,0.92723,0.96231,0.78284,0.72121,0.59723,1.32454,0.000229967,0.000229967,0.000229967
13,1070.61,0.64012,1.10882,1.24395,0.91866,0.91774,0.96085,0.80041,0.66881,0.57989,1.28135,0.000224146,0.000224146,0.000224146
14,1149.61,0.63316,1.06938,1.23893,0.92838,0.92519,0.96554,0.7855,0.72745,0.5925,1.3478,0.000218324,0.000218324,0.000218324
