epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,769.806,0.80748,3.91251,1.35167,0.03793,0.93263,0.09855,0.0896,0.39952,3.76061,0.63835,0.000100322,0.000100322,0.000100322
2,1608.14,0.43635,3.34752,1.07764,0.27917,0.48035,0.23056,0.22109,0.39999,3.00053,0.52051,0.000191357,0.000191357,0.000191357
3,2419.15,0.37603,2.76618,1.02861,0.38134,0.56058,0.40455,0.39016,0.42549,2.51187,0.46745,0.000272392,0.000272392,0.000272392
4,3167.49,0.35898,2.37694,1.01469,0.46289,0.56286,0.5199,0.49116,0.36704,3.07627,0.43429,0.000258004,0.000258004,0.000258004
5,3913.11,0.31041,2.06051,0.98748,0.55261,0.77421,0.76302,0.7388,0.30468,1.73871,0.3815,0.000243006,0.000243006,0.000243006
6,4655.83,0.27355,1.80238,0.96909,0.71738,0.87849,0.86537,0.84795,0.32838,1.34717,0.36557,0.000228007,0.000228007,0.000228007
7,5465.91,0.2515,1.63087,0.96163,0.76479,0.86984,0.90766,0.88426,0.29331,1.17894,0.36201,0.000213009,0.000213009,0.000213009
8,6175.77,0.22749,1.50874,0.96051,0.83063,0.89876,0.93159,0.88157,0.3678,1.07422,0.39386,0.00019801,0.00019801,0.00019801
9,6896.2,0.22215,1.37632,0.94898,0.88601,0.95878,0.95377,0.94238,0.25949,0.86139,0.31056,0.000183012,0.000183012,0.000183012
10,7617.83,0.21396,1.29955,0.9469,0.8484,0.96644,0.95504,0.94877,0.25055,0.84112,0.2813,0.000168013,0.000168013,0.000168013
11,8330.71,0.09937,0.86324,0.92109,0.921,0.97384,0.96384,0.96346,0.18997,0.76664,0.17834,0.000153015,0.000153015,0.000153015
12,9044.19,0.07643,0.6417,0.90602,0.90314,0.97156,0.9629,0.9597,0.20002,0.79987,0.19193,0.000138016,0.000138016,0.000138016
13,9758.14,0.06354,0.55595,0.90592,0.90309,0.98312,0.97059,0.97059,0.16233,0.66375,0.15725,0.000123018,0.000123018,0.000123018
14,10480.6,0.05736,0.468,0.90328,0.94857,0.99185,0.97117,0.97117,0.16703,0.67112,0.15582,0.000108019,0.000108019,0.000108019
15,11197.8,0.05257,0.43121,0.90044,0.93916,0.99401,0.97099,0.97099,0.14244,0.61006,0.14323,9.3021e-05,9.3021e-05,9.3021e-05
16,11914.4,0.04704,0.39563,0.90841,0.93983,0.99201,0.97459,0.97459,0.14366,0.63517,0.13702,7.80225e-05,7.80225e-05,7.80225e-05
17,12632.9,0.04443,0.37851,0.90449,0.96237,0.9824,0.98346,0.98346,0.14416,0.58184,0.13552,6.3024e-05,6.3024e-05,6.3024e-05
18,13348.3,0.04269,0.34412,0.90311,0.96024,0.98073,0.98726,0.98726,0.14633,0.58803,0.13538,4.80255e-05,4.80255e-05,4.80255e-05
19,14066.8,0.03961,0.3268,0.90581,0.96305,0.98719,0.98992,0.98992,0.13796,0.56023,0.1313,3.3027e-05,3.3027e-05,3.3027e-05
20,14785.9,0.03754,0.32429,0.90509,0.97165,0.98157,0.99086,0.99086,0.1371,0.57194,0.13177,1.80285e-05,1.80285e-05,1.80285e-05
